,id,predicted aspect term,true aspect term
707,786:842,set(),{'case'}
708,397:1,set(),set()
709,285:1,{'price'},{'price'}
710,43:1,{'system'},{'log into the system'}
711,870:0,set(),set()
712,123:1,{'screen'},"{'ssd', 'set up', '21"" led screen'}"
713,786:379,set(),set()
714,11:1,"{'case', 'size', 'external power supply'}","{'case', 'size', 'external power supply'}"
715,1009:1,"{'key board', 'wireless mouse', 'pad'}","{'works', 'key board', 'wireless mouse', 'pad'}"
716,404:1,"{'cost', 'look', 'price tag'}","{'price tag', 'cost of ownership'}"
717,1020:1,"{'ethernet', 'features', 'usb ports', 'hdmi', 'vga port'}","{'ethernet', 'features', 'usb ports', 'hdmi', 'vga port'}"
718,540:3,set(),set()
719,271:28,{'rubber'},{'rubber pads'}
720,264:5,set(),set()
721,1143:1,{'price'},{'price'}
722,29:1,{'price'},{'price'}
723,483:6,set(),set()
724,29:1027,{'operation'},"{'operation', 'heat output'}"
725,264:12,set(),set()
726,264:13,set(),set()
727,805:1,{'ram'},{'upgrade the ram'}
728,568:1,{'price'},{'price'}
729,75:1,"{'built in', 'external microphones', 'mic', 'mac'}","{'built in mic', 'external microphones', 'mac os 10.9'}"
730,859:1,{'features'},"{'features', 'shortcuts'}"
731,768:1,{'system'},{'ios system'}
732,271:10,set(),set()
733,272:10,{'resolution'},"{'fonts', 'resolution'}"
734,272:22,set(),set()
735,1103:1,set(),set()
736,862:1,{'features'},"{'features', 'working'}"
737,170:6,set(),set()
738,234:1,set(),set()
739,643:1,{'brightness'},"{'adjustments', 'brightness'}"
740,899:1,set(),set()
741,164:1,{'player built in'},{'cd/dvd player'}
742,969:5,{'keys'},{'backlit keys'}
743,933:1,{'keys'},"{'""home/end"" type keys'}"
744,535:1,{'microsoft word'},{'microsoft word'}
745,1080:1,set(),set()
746,1133:1,"{'memory', 'speed'}","{'memory', 'speed', 'flexibility'}"
747,881:4,"{'simplicity', 'design', 'speed'}","{'simplicity', 'design', 'speed'}"
748,713:1,set(),set()
749,793:1,set(),set()
750,390:1,"{'apps', 'battery life', 'display'}","{'battery life', 'downloading apps', 'display'}"
751,940:1,"{'screen', 'software', 'operating system'}","{'screen', 'software', 'operating system'}"
752,374:1,set(),set()
753,886:1,set(),set()
754,547:16,{'case'},{'slim plastic case'}
755,991:8,{'recovery usb stick'},{'recovery usb stick'}
756,785:1,{'switch'},set()
757,311:18,{'sound'},"{'bass', 'sound'}"
758,635:1,set(),set()
759,84:1,set(),set()
760,339:1,{'built quality'},{'built quality'}
761,484:1,{'performance'},{'performance'}
762,1038:1,set(),set()
763,29:313,{'bluetooth interface (courtesy'},"{'range', 'mac os', 'bluetooth interface'}"
764,869:0,set(),set()
765,1063:161,{'start menu'},{'start menu'}
766,736:1,set(),set()
767,67:1,{'ram'},{'ram'}
768,73:1,{'provides'},set()
769,1107:3,{'touch screen'},{'touch screen'}
770,930:1,set(),set()
771,32:1,"{'photoshop', 'games'}","{'photoshop', 'games'}"
772,769:1,set(),set()
773,997:12,"{'drivers', 'card'}","{'""wlan"" card', 'lan device drivers'}"
774,934:1,"{'battery life', 'built'}","{'battery life', 'built'}"
775,118:2,{'tech'},set()
776,787:543,{'os'},{'os'}
777,884:1,{'customer support'},{'apple customer support'}
778,986:1,set(),set()
779,834:1,"{'feature', 'mac os', 'firewire 800', 'windows 7'}","{'mac os', 'windows 7', 'firewire 800', 'usb3'}"
780,146:1,"{'security', 'itunes'}","{'mini form factor', 'graphics stuff', 'security', 'itunes'}"
781,786:1472,"{'card reader', 'card'}","{'card reader', 'remove the card'}"
782,263:4,{'detracts'},set()
783,755:1,"{'drive', 'spinning', 'hard disk'}","{'ssd drive', 'spinning hard disk'}"
784,55:1,{'hdmi'},"{'firmware patch', 'hdmi'}"
785,762:7,set(),{'specs'}
786,277:1,{'imac'},set()
787,685:1,set(),{'packing'}
788,1079:1,set(),set()
789,1068:1,{'mother'},{'mother boards'}
790,474:1,"{'mother board', 'graphics card'}","{'mother board', 'graphics card'}"
791,946:1,"{'of ram', 'of', 'ram'}","{'8g of ram', '4g of ram', 'performs'}"
792,184:1,set(),{'virtual home schooling'}
793,786:31,set(),{'cost'}
794,932:1,"{'trackpad', 'battery', 'functions', 'operating system size', 'weight', 'durability'}","{'size', 'functions provided by the trackpad', 'operating system', 'durability of the battery', 'weight', 'mobility'}"
795,256:1,"{'imac', 'hardware'}",{'hardware'}
796,246:1,set(),set()
797,520:1,"{'software', 'updates'}","{'software', 'updates'}"
798,306:2,{'disc drive'},{'disc drive'}
799,280:11,{'screen'},"{'screen', 'res'}"
